id,time,video_end_time,frame_num,x_pix,y_pix,w_pix,h_pix,x_utm,y_utm
1.0,1685917819.13,1685917819,2,261.007,97.331,17.76,14.631,-1360.73,-1129.01
2.0,1685917819.13,1685917819,2,296.864,85.06,15.746,13.194,-1353.96,-1138.05
3.0,1685917819.13,1685917819,2,275.409,118.334,20.109,17.887,-1371.39,-1126.51
1.0,1685917822.2,1685917819,48,309.061,46.449,6.73,6.382,-1301.17,-1168.69
2.0,1685917822.2,1685917819,48,320.009,49.648,9.304,6.414,-1309.81,-1167.39
4.0,1685917822.2,1685917819,48,301.851,72.859,11.328,9.486,-1343.43,-1144.4
5.0,1685917822.2,1685917819,48,289.306,91.97,13.683,11.052,-1358.49,-1134.52
7.0,1685917822.2,1685917819,48,177.288,74.992,18.123,13.904,-1338.83,-1120.65
1.0,1685917821.33,1685917819,35,300.588,54.063,7.535,6.374,-1317.1,-1157.7
2.0,1685917821.33,1685917819,35,315.479,55.505,9.952,7.61,-1320.94,-1159.8
3.0,1685917821.33,1685917819,35,305.241,66.55,8.714,7.774,-1336.51,-1148.77
4.0,1685917821.33,1685917819,35,292.146,90.348,14.877,12.516,-1357.54,-1135.46
5.0,1685917821.33,1685917819,35,271.27,123.784,21.237,17.957,-1373.34,-1125.14
1.0,1685917820.2,1685917819,18,285.793,68.558,11.494,9.417,-1337.76,-1143.76
2.0,1685917820.2,1685917819,18,307.659,67.282,10.944,8.978,-1337.55,-1148.76
3.0,1685917820.2,1685917819,18,295.146,84.062,13.978,11.712,-1353.12,-1138.17
4.0,1685917820.2,1685917819,18,267.061,136.448,25.038,22.468,-1377.39,-1122.92
1.0,1685917820.13,1685917819,17,284.741,69.945,11.721,9.509,-1339.31,-1142.8
2.0,1685917820.13,1685917819,17,307.037,67.796,11.086,10.11,-1338.13,-1148.32
3.0,1685917820.13,1685917819,17,294.013,85.723,14.073,11.12,-1354.34,-1137.36
4.0,1685917820.13,1685917819,17,264.77,140.907,25.695,23.84,-1378.62,-1122.16
2.0,1685917822.93,1685917819,59,323.212,45.222,7.561,5.377,-1299.47,-1174.37
5.0,1685917822.93,1685917819,59,298.299,75.831,12.136,9.236,-1346.19,-1142.26
7.0,1685917822.93,1685917819,59,125.928,97.397,25.623,18.254,-1355.58,-1109.68
11.0,1685917822.93,1685917819,59,180.813,73.542,16.05,11.27,-1337.4,-1121.63
1.0,1685917821.2,1685917819,33,299.422,55.275,8.153,6.771,-1319.24,-1156.27
2.0,1685917821.2,1685917819,33,314.664,56.524,9.546,7.53,-1322.64,-1158.63
3.0,1685917821.2,1685917819,33,304.876,67.665,10.692,8.623,-1337.84,-1147.98
4.0,1685917821.2,1685917819,33,289.123,94.249,17.84,12.978,-1359.93,-1133.79
5.0,1685917821.2,1685917819,33,267.809,131.06,22.523,20.012,-1375.73,-1123.7
1.0,1685917819.8,1685917819,12,278.481,77.196,13.105,10.297,-1346.46,-1138.2
2.0,1685917819.8,1685917819,12,304.33,72.096,12.823,11.529,-1342.77,-1145.27
3.0,1685917819.8,1685917819,12,287.932,94.06,17.623,13.533,-1359.77,-1133.68
4.0,1685917819.8,1685917819,12,249.549,168.899,32.749,30.728,-1384.86,-1118.22
2.0,1685917822.6,1685917819,54,321.83,46.526,7.552,6.715,-1302.68,-1172.06
4.0,1685917822.6,1685917819,54,304.884,67.354,9.948,8.734,-1337.47,-1148.18
5.0,1685917822.6,1685917819,54,294.579,82.336,12.802,10.213,-1351.73,-1138.76
7.0,1685917822.6,1685917819,54,152.328,85.717,21.282,15.837,-1347.92,-1114.62
11.0,1685917822.6,1685917819,54,197.334,66.867,14.214,10.082,-1330.07,-1126.74
1.0,1685917819.07,1685917819,1,259.025,99.403,19.064,15.027,-1361.87,-1128.25
2.0,1685917819.07,1685917819,1,296.244,86.246,15.622,13.853,-1354.82,-1137.51
3.0,1685917819.07,1685917819,1,273.585,121.169,20.919,18.574,-1372.43,-1125.82
1.0,1685917820.67,1685917819,25,292.11,61.669,10.979,6.884,-1329.1,-1149.41
2.0,1685917820.67,1685917819,25,310.916,61.573,10.678,8.724,-1330.25,-1153.47
3.0,1685917820.67,1685917819,25,300.299,75.268,11.65,10.32,-1345.75,-1142.89
4.0,1685917820.67,1685917819,25,280.115,112.933,19.669,17.028,-1369.3,-1128.07
5.0,1685917820.67,1685917819,25,242.945,174.125,32.494,28.234,-1385.73,-1117.33
1.0,1685917820.33,1685917819,20,288.103,66.43,10.794,8.602,-1335.3,-1145.45
2.0,1685917820.33,1685917819,20,308.526,65.852,9.846,8.497,-1335.84,-1149.88
3.0,1685917820.33,1685917819,20,296.195,81.588,14.256,11.119,-1351.19,-1139.33
4.0,1685917820.33,1685917819,20,271.407,128.672,23.249,20.406,-1375.04,-1124.42
5.0,1685917820.33,1685917819,20,217.795,217.643,42.072,38.779,-1391.82,-1113.44
2.0,1685917822.73,1685917819,56,322.439,45.737,7.612,6.181,-1300.73,-1173.38
4.0,1685917822.73,1685917819,56,306.286,66.048,9.202,7.713,-1335.95,-1149.3
5.0,1685917822.73,1685917819,56,295.964,79.825,12.577,9.5,-1349.69,-1140.03
7.0,1685917822.73,1685917819,56,142.49,89.951,23.044,16.375,-1350.91,-1112.64
11.0,1685917822.73,1685917819,56,190.863,69.349,14.799,10.544,-1332.94,-1124.66
2.0,1685917822.67,1685917819,55,322.13,46.085,7.634,6.405,-1301.6,-1172.78
4.0,1685917822.67,1685917819,55,305.385,66.817,9.618,8.467,-1336.85,-1148.62
5.0,1685917822.67,1685917819,55,295.466,81.279,12.614,9.556,-1350.9,-1139.33
7.0,1685917822.67,1685917819,55,147.582,87.618,22.082,16.125,-1349.28,-1113.66
11.0,1685917822.67,1685917819,55,194.299,68.165,14.091,10.289,-1331.62,-1125.71
1.0,1685917820.87,1685917819,28,292.893,60.111,12.62,6.835,-1326.82,-1150.73
2.0,1685917820.87,1685917819,28,312.434,60.147,9.747,8.516,-1328.27,-1154.94
3.0,1685917820.87,1685917819,28,302.304,71.924,11.691,10.247,-1342.48,-1144.99
4.0,1685917820.87,1685917819,28,284.16,104.904,17.884,15.273,-1365.69,-1130.3
5.0,1685917820.87,1685917819,28,254.172,154.935,28.487,23.988,-1381.97,-1119.74
