id,time,frame_num,x_pix,y_pix,w_pix,h_pix,x_utm,y_utm,speed
1,0.07,1.0,243.004,112.887,22.511,16.836,298631.4458022208,4768875.692864466,
1,0.13,2.0,245.656,108.825,21.685,15.745,298633.20063586236,4768874.625071336,34.25476446777343
1,0.2,3.0,248.998,105.334,20.403,15.472,298634.85360850947,4768873.619259276,27.65678866104648
1,0.27,4.0,252.669,101.603,19.032,14.462,298636.7499245242,4768872.465375986,31.73680024833579
1,0.33,5.0,255.54,98.464,18.827,14.169,298638.4482680563,4768871.4319563415,33.14656006999862
1,0.4,6.0,258.394,95.292,18.222,13.573,298640.27256911097,4768870.321893206,30.51429908598177
1,0.47,7.0,261.271,92.449,17.511,13.216,298642.03118901845,4768869.251796181,29.438971813125153
1,0.53,8.0,263.401,90.041,17.484,12.4,298643.5975508953,4768868.298685634,30.563685782562203
1,0.6,9.0,266.037,87.713,16.471,11.625,298645.2127602433,4768867.315852044,27.069826570274998
1,0.67,10.0,268.662,85.474,15.532,11.341,298646.84858953365,4768866.320471491,27.434523164693346
1,0.73,11.0,270.536,83.224,15.796,10.947,298648.5526475178,4768865.283574678,33.24864240812088
1,0.8,12.0,272.591,81.504,14.764,10.556,298649.945133441,4768864.436265355,23.349168583708916
1,0.87,13.0,274.493,79.31,14.368,10.649,298651.7811730805,4768863.319059445,30.711627793093072
1,0.93,14.0,276.595,77.522,14.004,9.728,298653.3773459384,4768862.347809308,31.212978071123725
1,1.0,15.0,278.388,75.901,14.111,9.443,298654.8840507998,4768861.430999268,25.244114285060505
1,1.07,16.0,279.911,74.092,13.88,9.626,298656.6233245375,4768860.372674133,29.08993794613538
1,1.13,17.0,281.437,72.811,13.208,9.162,298657.9234852378,4768859.581543491,25.438924676894292
1,1.2,18.0,282.924,71.292,12.505,9.141,298659.51205051073,4768858.6149224695,26.586017502305154
1,1.27,19.0,284.468,69.678,12.041,9.203,298661.27352764405,4768857.543086861,29.478459791888323
1,1.33,20.0,285.655,68.481,12.143,8.977,298662.6349288131,4768856.714692201,26.57954518383687
1,1.4,21.0,286.804,67.195,11.897,8.284,298664.1530625795,4768855.790927823,25.39885905067685
1,1.47,22.0,288.12,66.019,12.074,8.062,298665.5937766135,4768854.914272331,24.132711307732176
1,1.53,23.0,289.613,64.71,11.751,8.167,298667.2705361095,4768853.8939862875,32.78295627596189
1,1.6,24.0,290.589,63.776,11.571,7.69,298668.50597975554,4768853.14223512,20.682734588886063
1,1.67,25.0,291.702,63.067,12.12,6.821,298669.47807945136,4768852.550725273,16.37631440360632
