id,time,frame_num,x_pix,y_pix,w_pix,h_pix,x_utm,y_utm
1.0,0.2,3,79.194,142.594,17.306,12.053,988.89,-2401.07
1.0,0.27,4,74.963,144.774,17.81,12.71,986.31,-2401.26
2.0,0.27,4,141.738,199.794,24.192,18.558,951.09,-2421.47
2.0,0.33,5,145.762,195.565,23.665,17.757,953.54,-2421.4
2.0,0.4,6,150.088,191.118,22.656,17.123,956.28,-2421.34
2.0,0.47,7,153.859,186.49,21.246,16.877,959.32,-2421.17
2.0,0.53,8,157.545,182.663,20.622,15.218,962.02,-2421.1
2.0,0.6,9,161.307,179.137,19.191,15.227,964.69,-2421.08
2.0,0.67,10,163.964,175.595,19.008,14.839,967.47,-2420.9
2.0,0.73,11,166.809,172.048,18.829,14.544,970.43,-2420.73
2.0,0.8,12,169.839,168.693,18.06,14.567,973.43,-2420.62
2.0,0.87,13,172.139,165.864,17.393,13.588,976.09,-2420.48
2.0,0.93,14,174.697,163.184,16.453,12.893,978.77,-2420.4
2.0,1.0,15,177.047,160.292,15.812,12.758,981.79,-2420.24
2.0,1.07,16,179.301,157.915,14.848,12.338,984.43,-2420.15
2.0,1.13,17,181.426,155.275,14.586,12.206,987.48,-2419.99
2.0,1.2,18,183.545,152.836,13.955,11.961,990.46,-2419.86
2.0,1.27,19,185.369,150.761,13.403,11.738,993.13,-2419.74
2.0,1.33,20,187.143,148.686,13.07,11.286,995.91,-2419.61
2.0,1.4,21,188.926,146.853,12.741,10.606,998.51,-2419.54
2.0,1.47,22,190.726,144.916,12.649,10.363,1001.36,-2419.44
2.0,1.53,23,192.351,143.269,12.24,9.783,1003.91,-2419.36
2.0,1.6,24,193.879,141.144,11.642,9.881,1007.25,-2419.15
2.0,1.67,25,195.142,139.374,10.64,9.385,1010.15,-2418.96
2.0,1.73,26,196.568,137.624,9.747,9.127,1013.19,-2418.81
2.0,1.8,27,197.981,135.873,10.29,9.689,1016.35,-2418.64
2.0,1.87,28,199.393,134.584,9.699,9.059,1018.87,-2418.6
2.0,1.93,29,200.628,133.116,8.999,8.529,1021.74,-2418.46
2.0,2.0,30,202.096,132.092,9.389,8.498,1023.98,-2418.5
2.0,2.07,31,203.592,130.779,9.526,8.079,1026.84,-2418.47
2.0,2.13,32,204.681,129.574,8.943,7.747,1029.48,-2418.36
2.0,2.2,33,205.819,128.241,9.156,7.821,1032.49,-2418.23
2.0,2.27,34,207.102,127.015,8.402,7.084,1035.44,-2418.16
2.0,2.33,35,208.485,125.645,8.933,7.423,1038.84,-2418.07
2.0,2.4,36,209.499,124.638,9.037,7.248,1041.44,-2418.0
