id,time,x_pix,y_pix,w_pix,h_pix
4.0,1685917631.07,119.274,176.384,24.242,26.8
8.0,1685917631.07,188.234,123.389,17.011,12.185
10.0,1685917631.07,323.115,162.48,16.746,12.806
11.0,1685917631.07,333.202,197.957,37.381,26.101
8.0,1685917632.73,126.946,91.163,9.143,7.05
11.0,1685917632.73,172.961,114.335,15.82,11.238
13.0,1685917632.73,285.183,144.71,15.973,12.56
29.0,1685917632.73,80.54,162.234,17.756,23.752
1.0,1685917626.67,136.57,95.415,11.028,7.311
2.0,1685917629.93,73.039,145.302,14.284,14.331
3.0,1685917629.93,111.422,165.396,20.193,22.746
4.0,1685917629.93,83.619,123.681,13.958,13.221
6.0,1685917629.93,56.573,104.601,9.636,9.277
8.0,1685917629.93,300.543,181.69,34.237,21.646
8.0,1685917631.47,167.797,112.642,14.136,10.614
10.0,1685917631.47,332.249,156.776,15.5,11.401
11.0,1685917631.47,273.029,165.624,32.257,19.573
12.0,1685917631.47,97.684,145.144,15.727,16.304
6.0,1685917631.47,77.608,150.125,16.967,18.529
13.0,1685917631.47,311.428,134.229,14.723,10.723
1.0,1685917627.53,115.919,84.237,9.265,6.259
8.0,1685917631.93,149.058,102.884,11.649,8.994
10.0,1685917631.93,342.298,150.698,14.242,10.816
11.0,1685917631.93,223.895,140.411,23.818,15.499
12.0,1685917631.93,116.838,173.03,22.162,23.298
6.0,1685917631.93,91.463,178.962,22.646,26.8
13.0,1685917631.93,301.711,137.888,14.293,11.228
8.0,1685917632.0,146.83,101.607,11.75,8.819
10.0,1685917632.0,343.521,149.92,14.017,10.274
11.0,1685917632.0,218.295,137.432,22.884,15.511
12.0,1685917632.0,120.353,178.268,23.19,24.948
6.0,1685917632.0,93.686,184.253,23.647,28.429
13.0,1685917632.0,300.259,138.553,14.044,11.096
2.0,1685917630.2,78.899,158.07,16.714,17.661
3.0,1685917630.2,124.491,182.266,22.955,23.317
4.0,1685917630.2,89.495,132.46,14.833,14.895
6.0,1685917630.2,59.181,109.818,10.216,9.735
8.0,1685917630.2,262.268,162.124,28.199,18.242
1.0,1685917627.8,111.188,81.959,8.241,5.227
1.0,1685917628.4,101.692,77.284,7.546,4.78
2.0,1685917628.4,55.236,102.939,9.94,8.774
2.0,1685917629.73,69.296,136.729,13.748,13.582
3.0,1685917629.73,103.517,153.519,18.136,20.503
4.0,1685917629.73,79.781,118.077,12.869,11.884
8.0,1685917631.53,164.523,110.917,13.582,9.742
10.0,1685917631.53,334.183,155.841,15.851,11.264
11.0,1685917631.53,264.491,161.25,30.668,19.01
12.0,1685917631.53,99.954,148.214,16.929,17.289
6.0,1685917631.53,79.073,153.374,17.434,19.3
13.0,1685917631.53,310.437,134.627,16.355,11.106
1.0,1685917627.93,108.774,80.971,7.551,5.078
1.0,1685917626.73,135.013,94.602,11.458,7.307
4.0,1685917631.0,115.599,171.54,23.439,25.416
8.0,1685917631.0,192.264,125.396,17.791,12.53
10.0,1685917631.0,321.733,163.747,17.04,13.022
8.0,1685917631.87,151.373,104.179,12.18,9.126
10.0,1685917631.87,340.965,151.5,14.592,11.528
11.0,1685917631.87,229.636,143.51,24.449,15.874
12.0,1685917631.87,113.502,168.365,21.088,21.974
6.0,1685917631.87,89.152,174.054,21.372,25.218
13.0,1685917631.87,303.085,137.249,14.893,11.247
8.0,1685917632.27,138.844,97.374,11.055,8.067
10.0,1685917632.27,346.347,146.953,11.648,11.194
11.0,1685917632.27,198.66,127.464,19.474,13.722
12.0,1685917632.27,138.976,203.429,28.348,31.448
13.0,1685917632.27,294.882,141.089,15.604,11.484
2.0,1685917630.73,98.005,197.447,23.892,27.525
4.0,1685917630.73,104.303,154.81,19.425,21.841
6.0,1685917630.73,64.926,122.715,12.367,12.343
8.0,1685917630.73,210.448,134.921,19.743,13.944
1.0,1685917628.6,99.51,75.829,7.852,5.211
2.0,1685917628.6,56.242,106.8,9.374,8.664
3.0,1685917628.6,76.731,113.084,12.701,12.055
4.0,1685917628.6,65.945,96.502,10.252,8.876
2.0,1685917630.6,92.385,185.122,22.432,24.601
4.0,1685917630.6,99.925,147.858,18.41,20.282
6.0,1685917630.6,63.264,119.205,11.476,11.008
8.0,1685917630.6,221.253,140.686,21.46,14.851
1.0,1685917628.33,102.833,77.894,7.184,4.887
2.0,1685917628.33,54.669,101.982,9.954,8.013
4.0,1685917631.13,122.918,181.538,25.782,28.325
8.0,1685917631.13,184.243,121.284,16.869,12.186
10.0,1685917631.13,324.869,161.407,17.208,12.644
11.0,1685917631.13,325.313,192.422,40.228,25.307
6.0,1685917631.13,71.116,136.434,13.603,13.994
2.0,1685917629.67,67.785,134.136,13.673,13.717
3.0,1685917629.67,101.176,150.382,16.336,19.165
4.0,1685917629.67,78.505,116.378,12.491,11.427
1.0,1685917626.93,129.358,91.359,10.252,7.188
1.0,1685917629.0,94.544,73.448,6.49,4.739
2.0,1685917629.0,59.791,114.786,10.382,10.042
3.0,1685917629.0,83.347,124.623,13.197,13.103
4.0,1685917629.0,70.005,102.621,10.988,9.947
8.0,1685917632.07,144.694,100.395,11.13,8.63
10.0,1685917632.07,344.314,149.369,14.051,10.016
11.0,1685917632.07,212.682,134.867,22.06,14.984
12.0,1685917632.07,124.415,183.812,24.6,26.216
6.0,1685917632.07,96.507,189.943,25.089,30.298
13.0,1685917632.07,298.833,139.26,14.673,11.227
2.0,1685917629.87,71.585,142.21,13.745,14.255
3.0,1685917629.87,108.406,161.117,18.659,22.085
4.0,1685917629.87,82.126,121.707,13.453,12.745
