id,time,frame_num,class,x_pix,y_pix,w_pix,h_pix,x_utm,y_utm
4682,724.0,3620,2,1035.3,472.729,89.427,39.306,305756.44,4771010.51
4699,724.0,3620,2,1175.919,485.064,101.662,40.662,305753.29,4771001.43
4914,724.0,3620,2,1386.104,500.206,164.598,55.931,305750.89,4770992.01
4929,724.0,3620,2,854.264,758.665,291.911,141.843,305722.41,4771000.29
4960,724.0,3620,2,1622.273,531.888,190.289,52.301,305746.08,4770985.22
4977,724.0,3620,2,590.949,595.932,164.826,76.705,305727.38,4771013.52
5034,724.0,3620,2,541.953,566.096,136.234,54.824,305729.34,4771018.82
5075,724.0,3620,2,286.886,681.64,251.942,97.995,305719.98,4771014.17
5091,724.0,3620,2,349.803,615.514,204.672,48.958,305723.27,4771018.79
5220,724.0,3620,2,910.46,486.446,66.163,33.67,305749.61,4771015.39
5279,724.0,3620,2,796.537,424.273,28.887,13.574,305798.64,4771063.46
5282,724.0,3620,2,721.53,459.322,40.113,21.925,305759.37,4771039.45
5152,724.0,3620,2,1865.322,544.846,103.093,68.636,305745.85,4770979.66
5290,724.0,3620,2,610.575,450.203,28.722,18.387,305764.4,4771059.58
5059,724.0,3620,2,1314.148,586.024,197.462,92.406,305735.74,4770994.08
1382,231.2,1156,2,699.863,473.745,45.496,27.628,305751.48,4771033.79
1418,231.2,1156,2,668.531,468.017,28.258,21.707,305753.69,4771039.37
1448,231.2,1156,2,645.191,460.293,33.146,23.502,305757.64,4771046.58
1597,231.2,1156,2,1357.169,471.088,74.431,29.705,305760.41,4770993.17
1526,231.2,1156,2,1555.275,525.42,158.973,54.838,305746.71,4770986.9
1599,231.2,1156,2,1466.65,491.365,121.49,40.168,305754.18,4770988.79
1600,231.2,1156,2,1320.013,497.366,144.498,57.106,305751.01,4770994.6
1627,231.2,1156,2,1532.88,486.184,73.155,34.191,305756.39,4770986.05
1655,231.2,1156,2,1846.769,549.391,141.53,64.825,305744.99,4770980.38
1660,231.2,1156,2,1728.328,518.794,180.536,53.48,305749.56,4770981.55
1682,231.2,1156,2,605.706,453.076,20.055,16.3,305762.02,4771057.26
1716,231.2,1156,2,1531.066,736.502,279.012,120.169,305727.62,4770990.49
1717,231.2,1156,2,855.796,440.022,35.408,21.278,305776.28,4771037.69
1634,231.2,1156,2,620.511,456.272,22.99,19.476,305759.9,4771052.51
1726,231.2,1156,2,819.147,517.384,101.424,48.519,305740.19,4771014.64
1727,231.2,1156,1,1646.751,1043.178,202.397,73.053,305721.09,4770990.65
1448,246.0,1230,2,711.172,473.144,46.16,30.073,305751.92,4771033.15
1682,246.0,1230,2,626.657,457.512,23.052,16.844,305759.15,4771050.76
1634,246.0,1230,2,655.974,462.347,34.167,22.512,305756.57,4771044.04
1733,246.0,1230,2,663.206,764.968,335.359,139.25,305720.91,4771003.11
1734,246.0,1230,2,965.336,494.981,77.685,38.461,305747.64,4771010.9
1740,246.0,1230,2,773.796,469.634,50.345,25.675,305754.48,4771029.63
